Channel Name,Program Title,Start Time,End Time,Duration (mins),Description
Suspilne Sport Hd,Суспільне Спорт. Новини,2026-03-01 08:00:00,2026-03-01 08:10:00,10,Суспільне Спорт. Новини
Suspilne Sport Hd,Зимова Олімпіада 2026. Хокей. Жінки. 1/4 фіналу. США - Італія,2026-03-01 08:10:00,2026-03-01 10:15:00,125,Зимова Олімпіада 2026. Хокей. Жінки. 1/4 фіналу. США - Італія
Suspilne Sport Hd,Яскраві миттєвості спортивних подій,2026-03-01 10:15:00,2026-03-01 10:30:00,15,Яскраві миттєвості спортивних подій
Suspilne Sport Hd,"Легка атлетика. Чемпіонат Європи в приміщенні в Апелдорні, Нідерланди. Стрибки у висоту. Чоловіки. Фінал",2026-03-01 10:30:00,2026-03-01 11:50:00,80,"Легка атлетика. Чемпіонат Європи в приміщенні в Апелдорні, Нідерланди. Стрибки у висоту. Чоловіки. Фінал"
Suspilne Sport Hd,Яскраві миттєвості спортивних подій,2026-03-01 11:50:00,2026-03-01 12:15:00,25,Яскраві миттєвості спортивних подій
Suspilne Sport Hd,Зимова Олімпіада 2026. Ковзанярський спорт. Чоловіки. 10000 м,2026-03-01 12:15:00,2026-03-01 14:00:00,105,Зимова Олімпіада 2026. Ковзанярський спорт. Чоловіки. 10000 м
Suspilne Sport Hd,Суспільне Спорт. Новини,2026-03-01 14:00:00,2026-03-01 14:15:00,15,Суспільне Спорт. Новини
Suspilne Sport Hd,Яскраві миттєвості спортивних подій,2026-03-01 14:15:00,2026-03-01 14:30:00,15,Яскраві миттєвості спортивних подій
Suspilne Sport Hd,На власні очі,2026-03-01 14:30:00,2026-03-01 15:00:00,30,На власні очі
Suspilne Sport Hd,Спільна мета,2026-03-01 15:00:00,2026-03-01 15:30:00,30,Спільна мета
Suspilne Sport Hd,Яскраві миттєвості спортивних подій,2026-03-01 15:30:00,2026-03-01 15:45:00,15,Яскраві миттєвості спортивних подій
Suspilne Sport Hd,Суспільне Спорт. Новини,2026-03-01 15:45:00,2026-03-01 16:00:00,15,Суспільне Спорт. Новини
Suspilne Sport Hd,Загальнонаціональна хвилина мовчання,2026-03-01 16:00:00,2026-03-01 16:02:00,2,Загальнонаціональна хвилина мовчання
Suspilne Sport Hd,Зимова Олімпіада 2026. Яскраві моменти,2026-03-01 16:02:00,2026-03-01 16:40:00,38,Зимова Олімпіада 2026. Яскраві моменти
Suspilne Sport Hd,"Стрибки у воду. Кубок світу. Етап 1 у Монреалі, Канада. Чоловіки. Вишка 10 м. Фінал",2026-03-01 16:40:00,2026-03-01 18:25:00,105,"Стрибки у воду. Кубок світу. Етап 1 у Монреалі, Канада. Чоловіки. Вишка 10 м. Фінал"
